Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
POST,/query,46003,227,40,1032.4574595152978,2.7887821197509766,39114.22371864319,45.21387735582462,86.0551180408119,0.42463560627055413,40,85,170,370,2300,5400,12000,26000,34000,39000,39000,39000
,Aggregated,46003,227,40,1032.4574595152978,2.7887821197509766,39114.22371864319,45.21387735582462,86.0551180408119,0.42463560627055413,40,85,170,370,2300,5400,12000,26000,34000,39000,39000,39000
